Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
29.8,60.1,5.2,17.9,25.3,9.2,0.98,6.3,319.0,2
26.7,60.1,2.3,12.2,30.8,9.7,0.98,6.0,611.0,2
26.7,74.7,1.1,33.8,24.4,5.9,0.98,5.2,619.0,2
27.1,39.1,6.1,6.3,13.5,5.3,1.15,11.1,454.0,0
26.7,70.7,6.9,16.0,25.3,5.9,1.01,12.7,303.0,0
39.4,96.6,14.6,8.1,25.3,17.9,1.82,3.1,674.0,1
26.7,82.5,1.7,8.1,31.1,12.7,1.8,4.6,735.0,3
31.0,59.6,5.0,16.8,25.3,13.6,1.38,6.3,443.0,2
29.4,93.8,10.3,22.7,45.1,11.8,2.03,5.1,454.0,3
33.2,80.5,11.1,8.1,32.0,15.3,1.69,4.9,535.0,3
26.3,65.7,1.3,8.1,18.3,5.9,0.85,13.0,529.0,0
32.5,60.1,1.6,8.1,21.6,19.3,1.53,5.1,519.0,2
26.7,53.3,3.7,8.1,25.3,6.6,1.09,5.1,454.0,0
28.6,60.1,28.9,8.1,23.2,4.5,1.02,11.0,508.0,0
22.3,80.5,4.5,12.0,17.2,5.9,1.18,5.1,232.0,0
26.7,78.9,22.4,29.9,27.5,11.8,1.48,5.1,454.0,2
22.9,75.4,4.5,10.4,25.3,3.7,0.96,14.4,359.0,0
37.6,81.2,28.1,8.1,46.7,13.7,1.85,4.1,454.0,3
34.7,59.3,9.0,15.7,28.5,7.1,1.52,6.1,437.0,2
37.8,97.2,0.6,24.6,25.3,11.7,1.13,7.7,803.0,3
27.6,44.1,3.5,14.4,30.7,9.4,0.97,8.0,338.0,2
27.6,60.1,3.8,10.9,9.1,1.7,1.04,5.1,520.0,0
25.6,58.3,0.4,8.1,25.3,5.9,0.98,10.0,536.0,0
24.6,48.4,8.3,15.4,23.3,4.6,1.03,5.1,461.0,0
26.2,49.9,0.5,2.0,22.9,2.3,0.94,17.9,581.0,0
26.7,62.1,16.4,21.3,17.6,5.9,0.93,11.5,324.0,0
26.7,69.2,2.0,3.9,25.3,5.2,1.09,10.1,297.0,0
26.7,72.2,10.1,16.6,25.3,6.3,1.85,3.5,637.0,3
29.6,65.6,3.4,8.1,25.3,2.9,1.03,5.1,452.0,0
52.5,60.1,67.5,91.2,31.6,34.6,0.98,2.9,785.0,1
26.7,97.9,1.1,8.1,28.1,22.6,0.98,3.5,562.0,1
23.3,45.2,24.0,29.0,26.6,5.3,0.96,10.9,575.0,0
35.4,100.2,20.5,33.2,34.4,11.7,1.85,5.1,440.0,3
26.7,85.8,84.4,94.4,26.7,19.8,1.55,10.0,744.0,3
21.8,79.6,1.1,16.8,25.3,6.0,0.91,10.8,455.0,0
27.7,86.1,83.3,8.1,25.3,6.8,1.71,7.4,594.0,2
27.5,78.9,30.2,8.1,15.3,3.0,0.98,11.1,472.0,0
28.0,72.2,18.5,25.0,24.9,6.1,1.32,5.1,480.0,0
22.2,50.0,1.1,8.4,23.5,3.7,0.96,5.1,454.0,0
26.7,70.1,55.1,72.7,25.3,30.7,2.12,4.9,612.0,1
26.7,83.7,3.1,2.2,39.5,29.2,2.61,2.5,898.0,1
26.7,94.4,48.3,8.1,31.4,23.3,1.75,4.3,779.0,3
39.3,78.9,68.9,85.2,25.3,13.0,0.98,8.5,454.0,3
24.7,64.9,17.3,37.0,25.3,14.9,1.48,5.5,453.0,3
26.7,62.8,8.7,8.1,29.7,15.8,1.4,8.1,604.0,2
17.4,56.5,2.6,6.9,21.0,3.5,0.92,11.6,475.0,0
18.1,70.1,3.1,8.1,19.7,5.8,1.18,12.9,273.0,0
25.6,78.1,1.1,5.2,21.3,5.9,0.89,10.9,524.0,0
22.4,69.3,2.2,8.1,19.6,5.9,0.92,10.2,339.0,0
25.3,60.1,70.7,84.8,25.3,5.9,1.59,13.2,587.0,2
42.1,60.1,1.1,35.3,41.4,30.4,2.67,2.8,861.0,1
27.5,45.3,2.8,10.1,25.3,4.1,0.82,5.1,236.0,0
32.6,65.1,4.1,8.1,25.3,14.5,1.45,5.1,509.0,2
