Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
29.8,66.72,20.94,17.04,23.319999999999997,6.4,1.224,8.82,319.0,2
30.139999999999997,75.6,10.899999999999999,25.76,24.3,7.159999999999999,1.64,7.0,611.0,2
35.74,70.56,29.3,56.26000000000001,29.240000000000002,12.6,1.7159999999999997,7.840000000000001,619.0,2
27.1,76.75999999999999,10.84,6.3,21.7,8.44,1.348,8.979999999999999,541.6,0
26.5,70.7,10.320000000000002,16.0,26.1,1.9600000000000002,1.388,10.98,527.8,0
40.3,72.26,60.4,35.5,35.06,17.9,2.496,3.1,674.0,1
29.8,84.78,26.940000000000005,15.8,27.2,16.82,2.074,4.6,735.0,3
30.74,73.47999999999999,8.84,16.8,27.9,9.120000000000001,1.38,8.8,443.0,2
29.4,63.4,13.800000000000002,22.7,28.9,11.8,1.6179999999999999,5.4,497.8,3
33.2,80.5,11.1,24.4,32.72,15.3,1.496,5.279999999999999,599.0,3
23.04,60.78000000000001,15.2,11.78,18.94,5.9,1.0,12.52,461.6,0
34.12,51.2,1.6,10.5,26.419999999999998,19.3,2.022,5.9,528.8,2
20.0,69.38,4.159999999999999,8.32,17.1,6.6,1.09,11.3,538.0,0
28.6,59.46,15.040000000000001,27.0,23.140000000000004,4.5,1.444,10.08,442.4,0
22.3,80.5,4.5,12.0,16.68,6.3,1.3359999999999999,10.4,232.0,0
29.639999999999997,78.9,15.219999999999999,29.9,29.6,5.86,1.5539999999999998,8.860000000000001,528.4,2
22.9,75.4,6.6,14.680000000000001,20.04,3.7,0.96,9.180000000000001,413.4,0
37.6,81.2,40.86,50.92,31.959999999999997,13.7,1.922,4.12,536.8,3
34.7,59.3,23.380000000000003,31.619999999999997,28.5,10.559999999999999,1.54,6.1,484.8,2
28.540000000000003,97.2,0.6,28.080000000000002,32.32,11.7,1.436,7.7,803.0,3
29.48,44.1,3.5,14.4,30.7,9.4,1.548,8.18,464.6,2
27.6,77.5,11.7,13.02,22.060000000000002,10.580000000000002,1.2440000000000002,14.4,520.0,0
25.6,58.3,14.66,-0.2,25.3,4.9,0.98,10.0,333.2,0
24.6,61.0,12.120000000000001,18.22,18.140000000000004,4.6,1.25,10.080000000000002,434.2,0
26.2,68.04,13.5,2.0,24.020000000000003,2.3,0.978,10.919999999999998,581.0,0
22.6,57.9,18.759999999999998,15.36,17.7,4.8,0.932,11.680000000000001,414.6,0
30.0,69.2,7.88,13.64,17.119999999999997,5.78,1.09,11.159999999999998,403.8,0
33.44,72.2,10.1,56.6,27.54,18.7,1.9759999999999998,3.5,669.6,3
29.6,67.1,3.4,10.559999999999999,21.419999999999998,2.9,1.03,10.2,330.4,0
52.5,83.9,9.58,44.1,32.78,34.6,2.066,6.36,550.2,1
34.120000000000005,97.9,22.34,57.3,39.14,16.32,2.2659999999999996,6.8,562.0,1
23.3,53.160000000000004,24.0,34.68,18.240000000000002,6.279999999999999,1.3539999999999999,10.760000000000002,358.8,0
35.4,100.2,26.78,33.2,22.759999999999998,11.7,1.886,5.1,546.4,3
29.7,85.8,14.959999999999999,94.4,25.139999999999997,19.8,1.1680000000000001,10.0,436.2,3
24.619999999999997,79.6,7.1,18.159999999999997,14.5,6.0,0.91,10.739999999999998,487.2,0
27.7,72.44,83.3,93.5,32.839999999999996,15.580000000000002,1.7100000000000002,7.4,594.0,2
27.5,78.9,17.98,34.1,25.6,11.879999999999999,1.472,8.440000000000001,431.6,0
24.139999999999997,72.2,14.419999999999998,25.0,30.9,6.1,1.32,13.2,506.8,0
22.2,79.42,21.319999999999997,33.839999999999996,24.9,4.9399999999999995,1.128,10.2,326.6,0
37.68,70.1,62.08,40.16,33.28,12.540000000000001,1.538,4.9,553.8,1
37.5,83.7,33.62,48.10000000000001,36.4,29.2,1.8519999999999999,5.08,608.4,1
30.9,94.4,38.66,21.919999999999998,31.4,23.3,1.75,7.68,550.6,3
39.3,78.9,15.239999999999998,85.2,29.7,10.94,1.7,8.5,617.2,3
32.78,64.9,6.4,33.12,25.880000000000003,9.22,1.1920000000000002,7.760000000000001,541.6,3
27.8,90.82000000000001,8.7,44.3,33.779999999999994,15.8,1.544,8.1,518.4,2
25.04,56.5,2.6,16.240000000000002,20.26,3.5,0.9440000000000002,11.540000000000001,475.0,0
18.1,70.97999999999999,3.1,18.5,22.900000000000002,5.8,1.18,12.9,384.8,0
24.919999999999998,63.29999999999999,5.76,5.2,16.919999999999998,5.0200000000000005,0.89,10.9,365.4,0
22.4,69.3,18.46,18.64,18.44,3.0,0.92,10.2,417.2,0
29.419999999999998,47.4,8.379999999999999,84.8,26.82,8.2,1.59,13.2,539.6,2
42.1,89.8,26.060000000000002,35.3,36.78,30.4,2.67,2.8,772.6,1
24.380000000000003,65.84,11.2,17.46,22.32,4.1,0.82,10.6,236.0,0
30.439999999999998,65.1,4.1,19.3,32.660000000000004,14.5,1.6900000000000002,6.3,614.0,2
46.1,100.3,19.759999999999998,169.8,36.879999999999995,11.460000000000003,2.3,7.3,653.8,1
37.78,81.2,29.199999999999996,56.24000000000001,31.8,27.2,1.9400000000000002,3.7,730.2,1
48.1,94.1,14.919999999999998,37.26,28.059999999999995,8.78,1.9340000000000004,6.0,625.0,3
36.14,70.96,32.260000000000005,34.32,39.78,17.4,2.162,6.42,597.2,2
29.0,83.5,12.78,35.06,31.160000000000004,-2.8,1.478,7.82,538.0,2
24.9,77.14000000000001,17.68,31.320000000000004,26.1,12.459999999999999,1.43,8.1,398.4,2
32.540000000000006,81.22,29.459999999999997,20.740000000000002,23.979999999999997,9.9,1.508,7.1,396.6,3
25.979999999999997,48.5,13.86,13.1,27.560000000000002,8.34,1.17,10.2,396.0,0
28.2,56.46,3.66,90.0,17.48,5.0,1.062,11.92,337.0,3
32.0,69.7,18.68,31.68,36.1,20.5,1.53,6.8,563.6,3
26.9,60.0,13.98,20.6,24.259999999999998,8.48,1.49,9.639999999999999,440.2,0
25.060000000000002,63.1,14.2,15.7,21.939999999999998,5.58,1.1640000000000001,11.0,338.4,0
17.5,73.8,10.040000000000001,8.8,16.2,8.4,1.326,10.8,430.0,0
33.2,49.8,1.4,23.3,31.639999999999997,25.8,1.7920000000000003,6.8,541.8,3
35.68,66.0,55.839999999999996,54.0,44.3,22.7,2.076,7.82,641.0,1
25.78,54.68000000000001,21.66,40.3,24.14,6.88,1.15,10.8,264.0,0
32.0,68.42,43.3,28.939999999999998,28.360000000000003,9.5,1.5719999999999998,7.8,555.8,2
25.0,63.9,16.08,10.8,23.0,7.139999999999999,1.0939999999999999,10.1,365.8,0
25.7,78.14,26.579999999999995,36.24,30.3,10.6,1.484,9.5,574.6,2
35.1,69.2,27.359999999999996,30.3,36.56,27.6,1.7600000000000002,4.9,517.8,1
