Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level
6.9,3.8,8.7,2.8,1.8,2.99,2
5.3,3.5,8.0,4.2,5.82,2.75,1
5.1,3.9,9.2,1.2,4.6,2.67,1
6.5,2.62,7.2,2.16,6.5,2.88,2
8.1,0.6,6.38,2.2,6.6,3.51,0
6.0,2.1,8.0,2.2600000000000002,5.840000000000001,3.008,2
8.0,2.78,5.3,1.9,4.3,3.08,0
8.4,1.8,5.6,3.0,5.2,3.2,0
5.2,3.6,6.3,4.0,4.9,2.82,1
7.7,1.7400000000000002,7.279999999999999,4.5,1.3,2.76,2
9.7,3.6,8.0,2.5,0.2,3.43,0
6.9,1.1,7.9,2.1,5.16,2.97,2
6.719999999999999,2.2,5.7,4.8,4.9,2.82,0
5.0,3.3,8.5,4.4,2.8,2.87,1
8.9,0.3,8.52,0.7,7.3,3.4,0
6.7,0.3,6.6,2.0,8.4,3.2,2
8.6,2.66,7.32,1.6,1.8,3.36,0
8.18,2.2,8.9,2.0,2.1,3.19,0
7.6,1.7,7.0200000000000005,0.6,9.0,3.16,0
6.6,2.0,9.5,2.32,4.4,2.93,2
7.159999999999999,3.3200000000000003,6.140000000000001,0.5,5.220000000000001,2.9,2
9.6,3.2,8.2,2.6,0.4,3.34,0
9.0,1.9,9.5,2.6,2.2,2.804,0
6.1,1.7,9.1,5.2,6.779999999999999,2.85,2
5.0,1.42,7.1,3.7599999999999993,8.6,2.68,1
9.7,1.3,7.42,3.8,1.6,3.29,0
6.8,2.56,9.8,0.9,4.52,2.64,2
6.4,0.1,8.0,2.1,6.82,2.95,2
5.3,2.2,7.6,1.4,6.7,2.79,1
9.9,1.0,8.4,2.3600000000000003,1.1,3.25,0
6.58,2.9,6.42,3.12,4.3,3.05,2
5.5,3.3,8.639999999999999,1.1,4.859999999999999,3.26,1
5.2,2.16,8.4,3.4400000000000004,7.9,2.47,1
8.2,0.7,8.5,2.3,4.3,3.24,0
9.7,0.6,6.7,0.7,6.3,3.62,0
9.1,1.7600000000000002,7.6,1.2,3.9800000000000004,3.12,0
5.38,3.6,9.5,3.4,2.0,2.58,1
8.6,3.6,9.4,1.9,0.5,3.03,0
8.2,2.62,5.8,5.4,4.3,3.164,0
5.0,0.6,6.76,4.2,6.5,2.61,1
8.3,1.72,8.6,1.4,4.8,3.48,0
8.2,3.4,8.3,2.3,2.94,3.07,0
5.5,1.5,6.3,1.5,6.460000000000001,2.81,1
9.5,2.5,7.32,1.5,2.56,3.49,0
7.9,2.9799999999999995,6.0,4.3,3.8,2.97,2
9.7,3.8,9.6,0.3,3.9799999999999995,3.55,0
5.1,3.7,7.1,5.8,2.3,2.6,1
9.3,2.0,5.8,1.8599999999999999,4.3,3.09,0
9.7,2.8,7.9,0.3,3.3,3.47,0
9.4,3.0,8.5,3.44,5.040000000000001,3.18,0
6.8,1.2,9.0,4.9,2.1,3.12,2
9.0,2.6,8.5,3.1,0.8,4.0,0
9.5,1.4,7.3,0.6,5.6,3.33,0
7.3,2.2,6.4,3.5,4.6,3.11,2
5.2,0.1,9.1,2.2,5.159999999999999,2.996,1
7.26,0.9,8.56,0.5,5.7,3.1,0
5.3,2.1,7.7,3.8,5.1,2.39,1
9.0,1.7600000000000002,7.2,0.5,6.2,3.39,0
5.1,1.12,9.2,3.4,1.8,2.52,1
5.8,1.0,8.06,4.3,5.2,2.8,1
8.3,1.1,9.8,3.2599999999999993,1.3,3.67,0
7.1,1.0,6.6,4.5,4.6,3.27,2
5.1,0.5,7.5200000000000005,2.4,13.0,2.85,0
7.4,0.4,7.5,2.8,5.9,3.26,2
5.9,1.7,7.0,3.7,5.92,2.8,1
6.9,2.5,7.5,5.1,2.0,3.06,2
8.3,0.7,7.5,3.9,6.340000000000001,3.26,0
9.7,2.3,6.9,3.0599999999999996,3.3,3.38,0
8.58,2.2,9.7,1.9,1.6,3.15,2
5.4,1.3,7.860000000000001,0.1,8.0,2.69,1
9.1,1.1,7.6800000000000015,4.2,3.5199999999999996,3.54,0
8.7,3.2,6.4,1.0,6.6,3.37,0
8.8,3.2,10.0,0.8,3.6,3.58,0
6.7,3.7,9.3,1.8,2.5,2.89,2
8.8,3.0,7.56,5.4,1.3,3.58,0
6.6,3.6,6.9,0.1,4.56,2.99,2
9.5,0.4,6.6,3.8599999999999994,1.8,3.44,0
8.2,1.8,8.419999999999998,2.0,5.5,2.872,0
8.4,3.0,8.14,2.3600000000000003,0.8,3.26,0
5.3,2.2,6.88,5.3,5.9799999999999995,2.62,1
6.8,0.5,5.7,2.8400000000000003,7.26,3.0439999999999996,0
5.4,2.8,7.0600000000000005,1.5,5.5,2.86,0
6.220000000000001,0.3,5.4,5.9,3.9,2.99,0
7.220000000000001,3.8,9.9,0.9,0.3,3.004,0
6.9,0.3,8.9,3.4,4.9799999999999995,3.21,2
6.220000000000001,2.0,5.1,2.8,5.28,2.81,0
6.94,0.5,5.6,3.9,8.7,3.106,0
9.8,2.7,6.4,5.2,1.7600000000000002,3.414,0
6.1,3.9,5.1,5.8,4.8,2.96,0
5.4,2.2,9.8,3.1,3.5,2.656,1
8.1,2.8,7.5,3.6,2.62,3.39,0
5.2,1.1,9.8,2.76,5.74,2.82,1
7.3,2.5,6.4,1.9,6.7,2.67,2
7.74,1.78,9.9,5.8,2.42,3.018,2
6.26,2.1,7.739999999999999,3.2800000000000002,5.2,3.1,0
9.6,3.3,8.4,1.0,0.4,3.54,0
7.5200000000000005,1.7,9.7,3.9,0.6,3.45,0
9.9,1.9400000000000002,8.0,2.1,3.4,3.5119999999999996,0
7.340000000000001,3.4,9.2,2.1399999999999997,3.34,3.15,0
5.3,3.5,7.18,4.0,5.0,2.68,1
8.260000000000002,2.2,8.8,2.8,0.2,3.41,0
7.3,0.5,6.94,3.6,2.8,3.22,2
6.1,2.7,8.1,2.1,5.0,2.98,2
7.6,3.1,7.6,2.12,0.8,2.99,2
7.8,2.2,9.4,1.9,2.7,3.3,2
8.5,0.9,5.7,2.7,8.8,3.55,0
6.8,2.4,6.82,2.6,5.2,2.97,2
7.6,3.1,6.6,3.4799999999999995,2.6,3.28,2
9.3,3.8,5.7,4.8,3.28,3.026,0
7.3,3.9,6.580000000000001,2.2199999999999998,3.6,3.08,2
8.2,1.0,8.22,0.8,8.6,3.3,0
5.9,1.4,9.5,3.6,4.4,2.7,1
8.3,2.18,8.48,0.2,8.8,3.14,0
5.9,0.4,5.6,2.8,5.220000000000001,2.73,0
6.0,1.5,8.2,2.4799999999999995,4.9,2.76,2
9.4,3.7,5.3,1.6,3.56,3.45,0
9.0,3.0,8.040000000000001,1.3,4.8,3.29,0
8.1,1.5,7.3,2.84,2.6,2.75,0
5.2,1.0,8.6,5.4,4.26,3.4,1
5.5,1.8,7.840000000000001,1.22,7.5,3.05,1
6.3,1.1800000000000002,5.1,1.9,9.2,2.82,0
5.6,3.4,8.0,4.1,2.7,2.62,1
8.9,2.0,5.4,3.2,3.3800000000000003,3.64,0
7.2,0.5,6.92,2.2,7.7,3.19,2
8.2,2.3,7.039999999999999,5.9,4.56,3.136,0
5.5,3.12,6.640000000000001,1.0,5.08,2.94,1
5.9,1.1,5.9,5.4,5.7,2.89,0
7.1,3.9,7.2,2.4,5.0,2.9,0
9.8,3.5,8.419999999999998,0.4,1.2,3.194,0
9.6,2.28,7.9,1.2,3.1,3.24,0
8.8,2.84,6.6,2.6,5.3,2.99,0
5.6,2.4,6.4,3.5,6.1,2.85,1
5.8,1.58,7.7,0.3,8.3,2.7,1
5.3,4.0,6.6,4.9,3.2,2.72,1
6.3,2.7,8.8,3.44,2.6,2.45,2
6.7,3.7,7.08,4.2,0.2,2.85,2
5.6,2.9,9.7,1.1,4.7,2.86,1
7.9,3.4,5.7,4.8,2.2,3.15,0
6.9,0.7,5.8,3.1399999999999997,6.6,2.96,0
8.3,2.56,7.0,4.9,3.9199999999999995,3.44,2
7.2,1.5,7.3,1.8,6.2,3.08,2
6.2,2.1599999999999997,6.9,1.9199999999999995,4.68,3.27,2
9.5,2.6399999999999997,5.6,5.6,0.8,3.13,0
