Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level
7.526351351351351,3.8,8.7,2.8,1.8,2.99,2
7.526351351351351,2.0034198860037997,7.462253193960511,4.2,4.244539982803095,2.75,1
7.526351351351351,3.9,9.2,1.2,4.6,3.124078260869565,1
7.526351351351351,2.0034198860037997,7.2,1.7,6.5,2.88,2
8.1,0.6,7.462253193960511,2.2,6.6,3.51,0
6.0,2.1,7.462253193960511,2.6878252788104087,4.244539982803095,2.85,2
8.0,2.0034198860037997,5.3,5.7,4.3,3.08,0
7.526351351351351,1.8,7.462253193960511,3.0,4.244539982803095,3.2,0
5.2,3.6,6.3,4.0,4.9,2.82,1
7.7,2.0034198860037997,9.8,4.5,1.3,3.124078260869565,2
9.7,3.6,8.0,2.6878252788104087,0.2,3.124078260869565,0
7.526351351351351,1.1,9.1,2.1,4.8,2.97,2
6.4,2.2,5.7,2.6878252788104087,4.9,2.82,0
7.526351351351351,3.3,7.462253193960511,4.4,2.8,2.87,1
7.526351351351351,0.3,7.462253193960511,0.7,7.3,3.4,0
7.526351351351351,0.3,7.462253193960511,2.0,8.4,3.2,2
7.526351351351351,2.6,7.462253193960511,2.6878252788104087,4.244539982803095,3.124078260869565,0
7.526351351351351,2.2,7.462253193960511,2.0,4.244539982803095,3.19,0
7.6,1.7,7.462253193960511,0.6,9.0,3.124078260869565,0
6.6,2.0034198860037997,9.5,1.5,4.4,3.124078260869565,2
7.526351351351351,3.0,6.1,0.5,4.244539982803095,2.9,2
7.526351351351351,3.2,7.462253193960511,2.6,4.244539982803095,3.34,0
7.526351351351351,0.7,7.462253193960511,2.6878252788104087,4.244539982803095,3.124078260869565,0
7.526351351351351,1.7,7.462253193960511,2.6878252788104087,1.9,2.85,2
7.526351351351351,2.0,7.462253193960511,1.3,8.6,3.124078260869565,1
7.526351351351351,2.0034198860037997,7.462253193960511,2.6878252788104087,4.244539982803095,3.124078260869565,0
6.8,3.9,7.462253193960511,2.6878252788104087,4.244539982803095,3.124078260869565,2
6.4,0.1,7.462253193960511,2.6878252788104087,6.5,3.124078260869565,2
7.526351351351351,1.1,9.5,1.4,4.244539982803095,2.79,1
9.9,1.0,8.4,3.6,1.1,3.124078260869565,0
7.526351351351351,2.9,7.462253193960511,3.8,4.244539982803095,3.124078260869565,2
7.526351351351351,3.3,7.462253193960511,2.6878252788104087,4.244539982803095,3.26,1
5.2,2.4,8.4,2.6878252788104087,7.9,2.47,1
8.2,0.7,7.462253193960511,2.3,4.3,3.124078260869565,0
7.526351351351351,0.6,6.7,0.7,4.244539982803095,3.62,0
7.526351351351351,2.2,7.462253193960511,1.2,3.9,3.12,0
5.5,3.6,7.462253193960511,3.4,2.0,2.58,1
7.526351351351351,3.6,7.462253193960511,1.9,4.244539982803095,3.124078260869565,0
8.2,0.3,5.8,5.4,4.3,3.124078260869565,0
