Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level
8.6,1.6,8.7,2.8,1.8,2.99,2
8.6,3.5,7.2,2.1,3.5,3.11,1
8.6,3.9,7.2,1.2,3.5,3.11,1
8.6,1.6,7.2,2.1,3.5,3.11,2
8.6,1.6,7.2,2.1,3.5,3.51,0
8.6,1.6,7.2,0.3,3.5,2.85,2
8.6,0.7,5.3,2.1,3.5,3.11,0
8.4,1.8,7.2,3.0,3.5,3.2,0
8.6,3.6,7.2,2.1,3.5,3.11,1
8.6,1.6,7.2,2.1,1.3,3.11,2
8.6,1.6,7.2,2.1,3.5,3.11,0
6.9,1.6,7.2,2.1,3.5,3.11,2
8.6,1.6,7.2,2.1,3.5,2.82,0
5.0,1.6,7.2,2.1,3.5,3.11,1
8.6,0.3,7.2,2.1,3.5,3.11,0
8.6,0.3,6.6,2.0,3.5,3.11,2
8.6,2.6,7.2,2.1,1.8,3.36,0
8.8,2.2,7.2,2.0,3.5,3.11,0
7.6,1.6,7.2,2.1,3.5,3.16,0
8.6,1.6,9.5,2.1,3.5,3.11,2
8.6,1.6,7.2,2.1,3.5,3.11,2
8.6,1.6,7.2,2.6,3.5,3.11,0
8.6,0.7,9.5,2.6,3.5,3.11,0
8.6,1.6,9.1,2.1,3.5,3.11,2
8.6,1.6,7.2,2.1,3.5,3.11,1
8.6,1.6,7.6,2.1,1.6,3.11,0
8.6,1.6,7.2,2.1,2.6,3.11,2
8.6,1.6,7.2,3.0,3.5,3.11,2
5.3,1.1,7.2,2.1,3.5,3.11,1
8.6,1.6,7.2,3.6,3.5,3.11,0
8.6,1.6,7.2,3.8,3.5,3.05,2
8.6,3.3,7.2,2.1,3.5,3.26,1
8.6,2.4,7.2,0.1,3.5,3.11,1
8.6,1.6,8.5,2.3,3.5,3.24,0
8.6,0.6,7.2,0.7,3.5,3.62,0
8.6,2.2,7.6,2.1,3.5,3.12,0
8.6,1.6,7.2,2.1,3.5,2.58,1
8.6,1.6,7.2,1.9,3.5,3.11,0
8.6,0.3,7.2,5.4,3.5,3.29,0
8.6,1.6,7.7,4.2,3.5,2.61,1
8.6,0.9,7.2,2.1,4.8,3.48,0
8.6,3.4,8.3,2.1,3.5,3.11,0
8.6,1.5,7.2,2.1,9.2,3.11,1
8.6,1.6,9.0,2.1,3.5,3.11,0
8.6,1.6,7.2,2.1,3.5,3.11,2
8.6,1.6,7.2,0.3,0.6,3.11,0
