Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,target
2.0,4.0,3.0,2.0,0.0,2.0,2
2.0,2.0,2.0,3.0,1.0,1.0,1
2.0,4.0,4.0,1.0,1.0,2.0,1
2.0,2.0,2.0,1.0,2.0,1.0,2
3.0,0.0,2.0,1.0,2.0,3.0,0
1.0,2.0,2.0,2.0,1.0,1.0,2
3.0,2.0,0.0,4.0,1.0,2.0,0
2.0,2.0,2.0,2.0,1.0,2.0,0
0.0,4.0,1.0,3.0,1.0,1.0,1
2.0,2.0,4.0,3.0,0.0,2.0,2
4.0,4.0,3.0,2.0,0.0,2.0,0
2.0,1.0,4.0,1.0,1.0,2.0,2
1.0,2.0,0.0,2.0,1.0,1.0,0
2.0,4.0,2.0,3.0,1.0,1.0,1
2.0,0.0,2.0,0.0,2.0,3.0,0
2.0,0.0,2.0,1.0,3.0,2.0,2
2.0,3.0,2.0,2.0,1.0,2.0,0
2.0,2.0,2.0,1.0,1.0,2.0,0
2.0,2.0,2.0,0.0,3.0,2.0,0
1.0,2.0,4.0,1.0,1.0,2.0,2
2.0,3.0,1.0,0.0,1.0,1.0,2
2.0,4.0,2.0,2.0,1.0,3.0,0
2.0,0.0,2.0,2.0,1.0,2.0,0
2.0,2.0,2.0,2.0,0.0,1.0,2
2.0,2.0,2.0,1.0,3.0,2.0,1
2.0,2.0,2.0,2.0,1.0,2.0,0
1.0,4.0,2.0,2.0,1.0,2.0,2
1.0,0.0,2.0,2.0,2.0,2.0,2
2.0,1.0,4.0,1.0,1.0,1.0,1
4.0,1.0,3.0,3.0,0.0,2.0,0
2.0,3.0,2.0,3.0,1.0,2.0,2
2.0,4.0,2.0,2.0,1.0,3.0,1
0.0,2.0,3.0,2.0,3.0,0.0,1
3.0,0.0,2.0,1.0,1.0,2.0,0
2.0,0.0,1.0,0.0,1.0,4.0,0
2.0,2.0,2.0,1.0,1.0,2.0,0
0.0,4.0,2.0,2.0,0.0,1.0,1
2.0,4.0,2.0,1.0,1.0,2.0,0
3.0,0.0,0.0,4.0,1.0,2.0,0
2.0,0.0,2.0,3.0,1.0,1.0,1
2.0,2.0,2.0,2.0,1.0,3.0,0
3.0,4.0,2.0,2.0,0.0,2.0,0
2.0,1.0,2.0,1.0,3.0,1.0,1
4.0,2.0,2.0,2.0,0.0,2.0,0
2.0,2.0,2.0,3.0,1.0,2.0,2
2.0,4.0,4.0,2.0,1.0,3.0,0
2.0,2.0,2.0,4.0,1.0,1.0,1
4.0,1.0,0.0,2.0,1.0,2.0,0
4.0,2.0,2.0,0.0,1.0,2.0,0
4.0,3.0,2.0,2.0,1.0,2.0,0
2.0,1.0,4.0,2.0,1.0,2.0,2
2.0,3.0,2.0,2.0,0.0,2.0,0
2.0,1.0,2.0,0.0,2.0,3.0,0
2.0,2.0,1.0,2.0,1.0,2.0,2
2.0,2.0,2.0,1.0,2.0,2.0,1
