Dataset,Mean CV Accuracy,Training Accuracy,Precision,Recall,F1-Score
pollution20_knn_smote_discretized.csv,81.35,81.8125,0.8195921562479902,0.818125,0.8181674998543934
pollution20_mean_smote_discretized.csv,77.575,78.125,0.7830069558427332,0.78125,0.7789407145457229
pollution20_mode_smote_discretized.csv,76.575,77.3125,0.7743425524767465,0.773125,0.7708249399775785
pollution20_multiple_imputation_smote_discretized.csv,85.125,85.6875,0.8615672117704233,0.856875,0.8571634151724683
pollution40_knn_smote_discretized.csv,73.8375,73.6875,0.7318944038540585,0.736875,0.732670735250068
pollution40_mean_smote_discretized.csv,62.3625,64.0625,0.6540531197253494,0.640625,0.6217751198328858
pollution40_mode_smote_discretized.csv,66.67500000000001,66.5,0.6603549495453573,0.665,0.6523305075326626
pollution40_multiple_imputation_smote_discretized.csv,75.7625,75.0,0.7507932100996826,0.75,0.7493804224551723
pollution60_knn_smote_discretized.csv,54.362500000000004,54.5625,0.5355788760658234,0.545625,0.4794418589989843
pollution60_mean_smote_discretized.csv,38.425000000000004,38.1875,0.3632920176486922,0.381875,0.29091028013234693
pollution60_mode_smote_discretized.csv,50.32500000000001,49.875,0.5747011355318569,0.49875,0.4617918879708454
pollution60_multiple_imputation_smote_discretized.csv,65.475,66.75,0.6625036323288547,0.6675,0.6562452791297485
student_20_knn_discretized.csv,83.99825861643929,83.81877022653723,0.840496262521373,0.8381877022653722,0.8381999901005045
student_20_mean_discretized.csv,78.555490865604,79.6116504854369,0.8032619493304805,0.7961165048543689,0.7956614953804217
student_20_mode_discretized.csv,83.99815371381514,84.62783171521036,0.8493719759233888,0.8462783171521036,0.8467855528207878
student_20_multiple_imputation_discretized.csv,86.16790714019712,85.76051779935275,0.8586629924756318,0.8576051779935275,0.8553807776857474
student_40_knn_discretized.csv,61.32187796677735,59.385113268608414,0.5915861299010444,0.5938511326860841,0.5921767535299471
student_40_mean_discretized.csv,61.322297577273886,58.41423948220065,0.6424040151278869,0.5841423948220065,0.5895898652935868
student_40_mode_discretized.csv,55.36136331450331,54.85436893203883,0.56600480730198,0.5485436893203883,0.5273567827868822
student_40_multiple_imputation_discretized.csv,68.51290040020352,69.09385113268608,0.7183237616541677,0.6909385113268608,0.6955801083067398
student_60_knn_discretized.csv,43.2785741635327,43.042071197411005,0.43450684328510014,0.43042071197411,0.4316036137130358
student_60_mean_discretized.csv,42.79297991639261,45.79288025889968,0.5717313213115474,0.45792880258899676,0.4265432097257728
student_60_mode_discretized.csv,40.00681867056905,44.01294498381877,0.48724740869102917,0.4401294498381877,0.43059417571062136
student_60_multiple_imputation_discretized.csv,42.144524345276494,43.85113268608414,0.5632030107674567,0.43851132686084143,0.4043056223059502
weather20_knn_smote_discretized.csv,83.16615887544948,81.82857142857142,0.8195475653015156,0.8182857142857143,0.8184454211131968
weather20_mean_smote_discretized.csv,86.2992088917947,83.88571428571429,0.8442151313327846,0.8388571428571429,0.838898396290684
weather20_mode_smote_discretized.csv,75.20609349460608,74.28571428571429,0.7510079330784831,0.7428571428571429,0.7425420254523935
weather20_multiple_imputation_smote_discretized.csv,86.2992088917947,83.77142857142857,0.8428703583997701,0.8377142857142857,0.8377651589789522
weather40_knn_smote_discretized.csv,76.46472703497874,76.11428571428571,0.7695551182584265,0.7611428571428571,0.7608501480868898
weather40_mean_smote_discretized.csv,81.19945080091533,81.82857142857142,0.8361204470091003,0.8182857142857143,0.8173365363593639
weather40_mode_smote_discretized.csv,68.75635174893755,70.05714285714286,0.7203064967922653,0.7005714285714286,0.6976984465427961
weather40_multiple_imputation_smote_discretized.csv,80.3074730304021,80.91428571428571,0.8197991285626719,0.8091428571428572,0.8087787140103517
weather60_knn_smote_discretized.csv,75.57220006538084,73.6,0.7462614478756302,0.736,0.7353622996696944
weather60_mean_smote_discretized.csv,76.80768878718536,76.11428571428571,0.7795872191229661,0.7611428571428571,0.7595309137709139
weather60_mode_smote_discretized.csv,67.95585485452762,66.28571428571428,0.6771278287876152,0.6628571428571428,0.660581911781912
weather60_multiple_imputation_smote_discretized.csv,76.83057208237986,76.11428571428571,0.7795872191229661,0.7611428571428571,0.7595309137709139
